"FIT ID","No.","Post Code","Technology","Installation","kW","Commission","Export","Tariff","Country","GO Region","Local Authority","Related ID","Generator Name"
" FIT00375028"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-01-18"," Deemed "," PV-R/0-4/02 R "," England"," East of England "," Epping Forest "," MCS-00313046-F ","  "
" FIT00083306"," 1"," BS20 "," Photovoltaic "," Domestic"," 0.37 "," 2011-04-22"," Deemed "," PV-R/0-4/02 "," England"," South West "," North Somerset "," MCS-00053149-A ","  "
" FIT00375841"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-05-08"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00341310-H ","  "
" FIT00375831"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-05-08"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00341299-I ","  "
" FIT00194807"," 1"," B28 "," Photovoltaic "," Domestic"," 0.37 "," 2010-07-06"," Deemed "," PV-R/0-4/02 "," England"," West Midlands "," Birmingham "," MCS-00008269-V ","  "
" FIT00375262"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-05-08"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00341392-G ","  "
" FIT00487768"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-03-09"," Deemed "," PV-N/0-4/04H-4 "," England"," East of England "," Epping Forest "," MCS-00326652-A ","  "
" FIT00375052"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-01-18"," Deemed "," PV-R/0-4/02 R "," England"," East of England "," Epping Forest "," MCS-00313051-T ","  "
" FIT00382611"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-05-08"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00341372-H ","  "
" FIT00377432"," 1"," S64 "," Photovoltaic "," Domestic"," 0.37 "," 2012-11-07"," Deemed "," PV-R/0-4/03H-4 "," England"," Yorks & Humber "," Doncaster "," MCS-00417456-N ","  "
